,Water_Runoff,Coastal,Landslide,Storm_Surface,Riverine,Precipitation,Evapotranspiration,Skin_Reservoir,Evaporation,Soil_Temperature,Radiative_Temperature,Soil_Water,LeafArea,Soil_Level,Latent_Heat,Soil_Level,Soil_Heat,Wind_Speed,Soil_Moisture,Surface_Pressure,Vapor_Pressure,Groundwater_Runoff,Sensible_Heat,Humidity,Dew,Density,Heatwave,Water_Deficit,Surface_Air,Temperature,Food,Battles,Explosions/Remote violence,Protests,Riots,Strategic developments,Violence against civilians,total_event_types,"fatalities, Battles","fatalities, Explosions/Remote violence","fatalities, Protests","fatalities, Riots","fatalities, Strategic developments","fatalities, Violence against civilians","total_fatalities, "
20,-1.095495,6.037351,105.82525,-10.148269,1.2459917,6.246894,-10.82857,-0.16357268,-2.9265854,-10.772948,-7.6947827,4.2181716,5.3413143,-0.6494913,-9.154286,-0.6494913,7.8829107,-6.697068,-2.86847,-5.6059484,-5.2009535,-9.343946,0.8111256,-0.14166094,9.076263,-144.8043,14.110796,-0.65567356,-10.349296,-8.686661,-9.153009e+21,12,0,11,1,1,4,29,1,0,0,0,0,3,4
21,-5.681957,-7.5884414,-29.1233,-10.354747,-9.749357,2.7909012,-7.1986194,-11.999469,6.33352,-9.613498,-4.7913003,5.130882,-0.6560116,-1.7437737,-9.687048,-1.7437737,9.673837,-5.7528152,-4.933426,-7.2000504,-5.465701,-8.471777,-8.344463,4.3747168,7.7324576,-145.11726,1.1470665,-11.387889,-9.52657,-6.92994,-7.880719e+36,0,1,1,1,0,1,4,0,0,0,0,0,1,1
22,-7.1592884,4.3343887,105.57848,-9.036902,2.3638468,-1.4224851,-11.141328,2.4208302,-10.507711,-2.1701105,1.5831258,6.668968,5.253347,3.59971,-15.274234,3.59971,-4.0773616,8.984639,-7.2634544,-2.7711787,-1.7818595,-10.85732,-0.5483874,-3.161808,12.479004,-143.73297,20.128729,2.1498387,1.1488135,0.9346043,-5.257291e+21,10,8,3,0,1,1,23,13,10,0,0,0,1,24
23,-5.997127,8.558355,106.11669,-8.268174,3.8009691,2.6038067,-5.1164813,0.6752975,2.2993677,-2.5886698,-1.4279045,3.7804868,5.272261,-2.7017174,-12.097206,-2.7017174,3.9413707,-2.5005214,-7.3052564,-3.8259501,-7.035586,-6.999999,-6.7058144,1.1718129,2.6517675,-161.57994,3.3451319,-3.3043818,-2.7390068,-2.293717,-7.880719e+36,4,2,0,0,4,2,12,7,14,0,0,0,2,23
24,7.783478,-8.552928,-19.28277,11.0308695,14.589103,-9.831523,6.1778398,9.59763,12.096706,7.8963747,11.252895,-8.632659,11.523886,9.395242,6.353058,9.395242,-1.1375391,4.193753,6.420318,9.401138,7.582034,9.841541,6.54448,-6.013472,-7.119727,-160.59863,-8.61363,9.375194,10.296816,10.076982,-7.880719e+36,0,4,0,0,0,0,4,0,7,0,0,0,0,7
25,-12.480669,-8.025108,-29.137993,-6.0851164,14.164771,3.0606043,-5.70439,-2.9348166,3.8536513,-6.5813985,-2.8386767,4.4638042,3.8934925,-2.9335558,-12.596947,-2.9335558,-10.058054,-0.48001763,-11.684868,-10.016851,-8.826342,2.7022507,-4.720135,10.785797,4.385564,-163.14684,13.183102,-5.619774,-4.5021977,-4.2710414,-7.880719e+36,0,6,2,0,1,0,9,0,0,0,0,0,0,0
26,-3.7508664,2.639847,-29.13443,-7.3241124,2.2574348,-1.084456,-11.145664,1.786637,-10.827741,-1.6884329,-0.1975051,8.836982,3.8264208,3.5688598,-15.303264,3.5688598,-4.205331,8.47543,-6.143764,-2.9656131,-1.5641189,-11.163357,-3.9058914,-2.4566886,12.569785,-143.79202,2.8096259,2.5143163,0.6583526,0.99432987,-4.3526894e+21,9,2,0,0,3,1,15,17,0,0,0,0,8,25
27,-7.265188,-8.0333,-29.586426,-2.6759813,-9.8235855,6.4839163,-8.291076,-3.7193859,-1.5610931,-8.827732,-4.868713,1.6562912,5.245471,-0.10832653,-9.596156,-0.10832653,-8.6861925,-7.994993,-9.066234,-2.5089545,-3.9878075,0.6410281,-2.2271416,4.329761,7.149462,-151.30304,15.012401,-8.471906,-6.0250835,-1.9253088,-7.880719e+36,5,9,31,17,3,6,71,3,0,0,0,0,3,6
28,-7.0295506,4.6439075,105.961815,-0.60028076,0.7149415,1.8367866,-5.329402,-0.4508764,3.2711344,-6.4955153,-2.5900729,5.3535943,-7.706657,-3.6712668,-10.6933975,-3.6712668,-6.7370553,-0.7699194,-10.44104,-11.061689,-8.880079,7.0374656,-5.1255217,10.50262,3.2527413,-150.2822,10.556334,-3.6045415,-3.3649852,-3.6409957,-7.880719e+36,3,0,0,0,0,1,4,3,0,0,0,0,1,4
29,-7.0747213,-7.588454,-28.287102,-9.997773,-10.300501,4.0151052,-7.2225184,-11.753121,6.536734,-9.76832,-3.488856,0.89827466,-0.37856835,-4.972421,-8.776365,-4.972421,10.30969,-6.143901,-3.8025422,-7.678944,-5.8749056,-7.8061275,-9.060392,6.4118257,7.740221,-148.1927,11.953127,-8.416752,-7.776701,-6.4041147,-7.880719e+36,0,0,1,0,0,0,1,0,0,0,0,0,0,0
30,-11.182518,0.4189986,-29.124773,-9.834132,-4.405947,4.7492123,-11.575188,-3.5676758,-9.075652,-4.8401995,-5.403889,1.5828148,1.5418096,-1.9878892,-13.501474,-1.9878892,9.121864,-8.201246,-6.1322303,-8.478963,-6.1879287,-9.710039,-8.36221,8.607051,6.645894,-142.40579,-3.110155,-7.944093,-6.293049,-5.7645707,-7.880719e+36,0,0,1,0,0,0,1,0,0,0,0,0,0,0
31,-8.407982,14.26538,-29.578669,-4.635791,11.631832,-0.51064694,-11.145321,-6.916963,9.973836,-0.11832042,3.1081226,-0.5653404,2.962295,3.58858,-15.639769,3.58858,-4.295697,-4.232589,-3.2223027,0.052492306,-1.5665296,0.752998,-4.605925,-1.9877713,-2.0742674,-142.57959,-4.1697755,2.6589136,2.261235,0.9831513,-4.5538145e+21,4,1,0,0,0,0,5,7,0,0,0,0,0,7
32,-5.2661953,-7.588454,106.18671,0.9407622,-9.821467,6.389657,-12.318202,0.66020775,-2.9486191,-10.537252,-6.9648376,2.4533246,6.448215,-0.25152302,-14.124571,-0.25152302,8.930246,-7.7581162,-3.4206057,-5.0089664,-4.1298995,-11.169722,1.3806912,4.0816135,8.02529,-143.46666,0.40592408,-8.87779,-6.4030437,-7.440437,1.4555953e+22,1,1,12,5,0,0,19,0,0,0,0,0,0,0
33,-7.468522,9.909071,-29.103197,-7.7600536,5.4136457,4.60641,-5.143036,-0.8467944,3.0652606,-3.6312275,-0.37023628,2.341861,1.5578372,-1.2138801,-10.615891,-1.2138801,-9.280057,7.74162,-11.623619,-2.852528,-6.474679,1.4493482,-0.5322476,-1.5072156,13.793679,-162.88797,10.81927,-3.153229,0.6697405,-1.5100955,-7.880719e+36,22,6,1,0,17,2,48,42,7,0,0,0,1,50
34,-13.657667,-1.0712236,-29.580692,-7.8995714,-4.9894686,4.5014863,-7.1999893,-12.034859,6.5784206,-9.995531,-4.733128,1.0589763,-0.7120781,-4.9728694,-9.267556,-4.9728694,10.162535,-6.114817,-4.7033367,-7.1737247,-5.065825,-8.23986,-8.985166,4.78517,7.506466,-145.67323,0.21056086,-7.6272635,-9.338404,-6.5215836,-7.880719e+36,4,5,5,11,0,0,25,3,0,0,0,0,0,3
